booking_code,booking_received_at,booking_pushed_at,latency_interval,latency_in_seconds
GXM250310XBH6NHGO,2025-03-10T10:37:38.039,2025-03-10T10:38:00.158,0 years 0 mons 0 days 0 hours 0 mins 22.119 secs,22.119000
GXM250310383EDJLL,2025-03-10T10:45:02.746,2025-03-10T10:46:00.13,0 years 0 mons 0 days 0 hours 0 mins 57.384 secs,57.384000
GXM250310ORKOT1GZ,2025-03-10T13:11:34.591,2025-03-10T13:12:00.157,0 years 0 mons 0 days 0 hours 0 mins 25.566 secs,25.566000
GXM25031075U-_4XC,2025-03-10T13:17:40.066,2025-03-10T13:18:00.148,0 years 0 mons 0 days 0 hours 0 mins 20.082 secs,20.082000
GXM2503105IZDUFNL,2025-03-10T13:23:16.941,2025-03-10T13:24:00.167,0 years 0 mons 0 days 0 hours 0 mins 43.226 secs,43.226000
GXM2503104YSKGMXC,2025-03-10T13:24:33.129,2025-03-10T13:25:00.186,0 years 0 mons 0 days 0 hours 0 mins 27.057 secs,27.057000
GXM2503100ODCM9HB,2025-03-10T13:28:00.143,2025-03-10T13:29:00.136,0 years 0 mons 0 days 0 hours 0 mins 59.993 secs,59.993000
GXM250310ZLVMVN9C,2025-03-10T13:31:03.317,2025-03-10T13:32:00.155,0 years 0 mons 0 days 0 hours 0 mins 56.838 secs,56.838000
GXM250310IIAKOF4D,2025-03-10T13:27:04.019,2025-03-10T13:33:00.155,0 years 0 mons 0 days 0 hours 5 mins 56.136 secs,356.136000
GXM250310_ZFP4MPM,2025-03-10T13:42:43.672,2025-03-10T13:46:00.138,0 years 0 mons 0 days 0 hours 3 mins 16.466 secs,196.466000
GXM250310BGQA77BL,2025-03-10T13:40:10.659,2025-03-10T13:46:00.187,0 years 0 mons 0 days 0 hours 5 mins 49.528 secs,349.528000
GXM250310M3XOXHR0,2025-03-10T14:25:00.85,2025-03-10T14:26:00.147,0 years 0 mons 0 days 0 hours 0 mins 59.297 secs,59.297000
GXM250311RGJC0OZO,2025-03-11T05:20:07.744,2025-03-11T05:21:00.135,0 years 0 mons 0 days 0 hours 0 mins 52.391 secs,52.391000
GXM250311QDE-YKV2,2025-03-11T13:20:26.899,2025-03-11T13:21:00.135,0 years 0 mons 0 days 0 hours 0 mins 33.236 secs,33.236000
GXM250311TO6BK30A,2025-03-11T13:34:30.847,2025-03-11T13:35:00.143,0 years 0 mons 0 days 0 hours 0 mins 29.296 secs,29.296000
GXM250311QWCAYVA9,2025-03-11T17:37:26.056,2025-03-11T17:38:00.124,0 years 0 mons 0 days 0 hours 0 mins 34.068 secs,34.068000
GXM250312KWMTC4AK,2025-03-12T05:11:14.027,2025-03-12T07:20:00.245,0 years 0 mons 0 days 2 hours 8 mins 46.218 secs,7726.218000
GXM250312NK3QDQNN,2025-03-12T03:20:03.784,2025-03-12T03:21:00.157,0 years 0 mons 0 days 0 hours 0 mins 56.373 secs,56.373000
GXM250312AW4PWNI3,2025-03-12T04:23:36.524,2025-03-12T04:24:00.14,0 years 0 mons 0 days 0 hours 0 mins 23.616 secs,23.616000
GXM250312CHSHNSAT,2025-03-12T12:52:11.581,2025-03-12T12:53:00.155,0 years 0 mons 0 days 0 hours 0 mins 48.574 secs,48.574000
GXM250313SSXJOENB,2025-03-13T05:51:08.743,2025-03-13T05:53:00.142,0 years 0 mons 0 days 0 hours 1 mins 51.399 secs,111.399000
GXM250313Z8OLUENF,2025-03-13T06:46:43.74,2025-03-13T06:47:00.151,0 years 0 mons 0 days 0 hours 0 mins 16.411 secs,16.411000
GXM250313C3KMPVZG,2025-03-13T10:27:58.103,2025-03-13T10:28:00.131,0 years 0 mons 0 days 0 hours 0 mins 2.028 secs,2.028000
NH74008390692950,2025-03-14T05:18:04.054,2025-03-14T05:19:00.139,0 years 0 mons 0 days 0 hours 0 mins 56.085 secs,56.085000
GXM2503145XVOSQX4,2025-03-14T07:44:13.192,2025-03-14T07:45:00.244,0 years 0 mons 0 days 0 hours 0 mins 47.052 secs,47.052000
GXM250314HBCYOZZX,2025-03-14T07:49:47.909,2025-03-14T07:50:00.127,0 years 0 mons 0 days 0 hours 0 mins 12.218 secs,12.218000
GXM250314EHKIUCTT,2025-03-14T08:45:05.011,2025-03-14T08:46:00.122,0 years 0 mons 0 days 0 hours 0 mins 55.111 secs,55.111000
GXM25031401M-OMAU,2025-03-14T15:01:02.173,2025-03-14T15:02:00.151,0 years 0 mons 0 days 0 hours 0 mins 57.978 secs,57.978000
GXM250314LFJYGEDL,2025-03-14T15:02:39.7,2025-03-14T15:03:00.156,0 years 0 mons 0 days 0 hours 0 mins 20.456 secs,20.456000
GXM250314YB3YEXGL,2025-03-14T15:04:52.139,2025-03-14T15:05:00.114,0 years 0 mons 0 days 0 hours 0 mins 7.975 secs,7.975000
GXM250314AWYOFC-Z,2025-03-14T16:58:49.57,2025-03-14T16:59:00.148,0 years 0 mons 0 days 0 hours 0 mins 10.578 secs,10.578000
GXM2503149VQIQHXI,2025-03-14T17:13:46.995,2025-03-14T17:14:00.143,0 years 0 mons 0 days 0 hours 0 mins 13.148 secs,13.148000
GXM250314SDHZQD7X,2025-03-14T17:19:49.917,2025-03-14T17:20:00.221,0 years 0 mons 0 days 0 hours 0 mins 10.304 secs,10.304000
GXM250314XSKNC0ZZ,2025-03-14T17:27:40.15,2025-03-14T17:28:00.169,0 years 0 mons 0 days 0 hours 0 mins 20.019 secs,20.019000
GXM250314TYF0UENO,2025-03-14T17:34:49.354,2025-03-14T17:35:00.154,0 years 0 mons 0 days 0 hours 0 mins 10.80 secs,10.800000
GXM250314O52HN6DV,2025-03-14T17:38:40.183,2025-03-14T17:39:00.153,0 years 0 mons 0 days 0 hours 0 mins 19.97 secs,19.970000
GXM250314TLUQHSI1,2025-03-14T17:56:57.138,2025-03-14T17:57:00.136,0 years 0 mons 0 days 0 hours 0 mins 2.998 secs,2.998000
GXM250314HIJ2AZ8J,2025-03-14T18:02:59.062,2025-03-14T18:03:00.158,0 years 0 mons 0 days 0 hours 0 mins 1.096 secs,1.096000
